lon lat vu su
  174.0290	  -41.7816	   -1.4400	    0.3700
  174.0222	  -41.3478	   -1.7800	    0.4900
  174.0060	  -41.8791	   -1.5800	    0.4500
  173.9976	  -41.6158	   -0.4800	    0.3800
  173.9842	  -41.5607	   -1.5700	    0.1500
  173.9455	  -41.8522	   -1.3700	    0.3100
  173.9243	  -42.1557	   -1.2800	    0.6900
  173.9216	  -40.8018	   -2.7100	    0.0300
  173.8890	  -41.9483	   -1.2400	    0.4800
  173.8231	  -40.9633	   -3.3300	    0.4200
  173.8056	  -41.7453	   -1.5800	    0.3700
  173.8022	  -41.5428	   -1.5800	    0.5600
  173.7938	  -41.2914	   -1.5100	    0.0700
  173.6969	  -42.4205	   -3.2400	    0.4300
  173.6957	  -41.4105	   -0.2300	    0.3600
  173.6692	  -41.8693	   -0.8000	    0.5600
  173.6119	  -42.3109	   -2.0900	    0.4300
  173.6016	  -41.9780	    0.5200	    0.6400
  173.5788	  -41.2409	   -3.1100	    1.3300
  173.5439	  -41.7419	   -0.9100	    0.3100
  173.5336	  -42.4255	   -1.5500	    0.0500
  173.4341	  -42.3662	   -0.8800	    0.4200
  173.4337	  -41.1835	   -1.7900	    0.0200
  173.4324	  -41.2755	   -0.9100	    0.5200
  173.4305	  -42.3904	   -0.2900	    0.5100
  173.4291	  -42.1347	   -0.1200	    0.3400
  173.3959	  -41.4741	   -0.7200	    0.4700
  173.3951	  -41.7001	   -1.2900	    0.3400
  173.3735	  -42.6158	   -2.4300	    0.9600
  173.3716	  -42.0320	   -0.1000	    0.5500
  173.3476	  -41.6255	    0.7700	    0.7500
  173.3460	  -41.9583	    2.5300	    0.5000
  173.2731	  -35.0689	   -1.3200	    0.0400
  173.2481	  -42.4160	   -0.9300	    0.5200
  173.2311	  -42.8438	   -1.0700	    0.4900
  173.2241	  -42.2719	    0.7400	    0.3900
  173.2157	  -41.3010	   -1.9900	    0.5200
  173.1940	  -42.4883	    0.2200	    0.5300
  173.1316	  -41.4927	   -2.2900	    1.1700
  173.1165	  -42.9261	   -1.1800	    0.5000
  173.0800	  -41.9040	    0.4900	    0.3200
  173.0753	  -42.1972	   -0.5800	    0.5800
  173.0579	  -41.6268	   -1.7000	    0.5800
  173.0257	  -42.7861	   -1.1200	    0.3800
  173.0138	  -42.3204	    0.9300	    0.9900
  173.0103	  -42.6874	   -0.8700	    0.5400
  172.9945	  -41.1238	   -0.8500	    0.7300
  172.9845	  -41.3330	   -1.5200	    0.4900
  172.9605	  -41.0337	   -2.0900	    0.2900
  172.9355	  -42.4735	    1.9100	    0.3700
  172.8504	  -40.9342	   -2.6100	    1.0400
  172.8277	  -41.5253	   -2.4900	    0.9400
  172.8253	  -42.4769	    0.6400	    0.5900
  172.8244	  -43.0779	   -0.0300	    0.9400
  172.8242	  -43.0779	   -0.0300	    0.9400
  172.8130	  -42.9071	   -3.2400	    0.5800
  172.8005	  -42.6889	   -1.9400	    0.8600
  172.7928	  -42.5528	   -0.4000	    0.2500
  172.7887	  -42.4014	    0.9800	    0.6000
  172.7868	  -42.3951	    0.2800	    0.5600
  172.7820	  -41.7759	    0.3400	    0.9100
  172.7764	  -42.5833	   -0.3600	    0.6000
  172.7752	  -42.6618	   -1.3500	    0.2200
  172.7733	  -42.3037	    0.2500	    0.5800
  172.7622	  -41.6986	   -3.4300	    2.6100
  172.7462	  -42.2125	    0.2100	    0.5200
  172.7222	  -43.6058	   -0.8100	    0.0400
  172.7098	  -40.5120	   -1.5100	    0.6200
  172.6929	  -42.9874	   -1.2400	    0.3400
  172.6925	  -42.8380	   -0.5900	    1.2200
  172.6912	  -41.1091	   -1.6700	    0.4200
  172.6817	  -41.2179	   -1.1800	    1.0300
  172.6722	  -40.7130	   -0.6600	    0.8000
  172.6547	  -43.7027	   -0.0100	    0.0400
  172.6500	  -42.0532	    1.1900	    0.9200
  172.6426	  -42.7443	   -0.5400	    0.3700
  172.6213	  -40.8767	   -3.6500	    0.5700
  172.6031	  -41.0348	   -1.0300	    0.6400
  172.5484	  -43.1177	   -1.2200	    0.3600
  172.5450	  -42.5957	    0.5900	    0.6700
  172.5413	  -41.5520	   -0.1100	    0.3400
  172.5296	  -40.8266	   -0.9700	    0.0300
  172.5180	  -42.2569	    0.7200	    0.6500
  172.5159	  -42.0084	    1.3000	    0.7100
  172.5086	  -41.4245	   -0.4000	    0.4100
  172.5028	  -42.8942	   -1.3100	    0.3200
  172.4995	  -41.7291	   -3.4500	    0.9500
  172.4007	  -42.3792	    1.8100	    0.6400
  172.3938	  -42.4748	    1.9300	    1.0800
  172.3835	  -40.6879	   -1.8000	    0.5400
  172.3789	  -41.2408	   -0.8200	    0.6400
  172.3763	  -42.5854	    0.8700	    0.4000
  172.3750	  -42.5310	    1.7700	    0.7400
  172.3591	  -41.8209	   -1.8100	    0.3800
  172.3204	  -43.0833	   -0.3100	    0.3600
  172.3112	  -41.0628	   -1.0700	    0.6200
  172.2804	  -40.8726	   -0.0300	    0.7500
  172.2799	  -41.7217	   -3.0200	    0.3500
  172.2663	  -42.7834	    1.1700	    0.0500
  172.2663	  -42.7834	    1.1700	    0.0500
  172.2391	  -41.4059	   -0.7600	    0.6200
  172.2367	  -42.1480	    2.7900	    1.0900
  172.1995	  -42.3119	   -1.6200	    1.0700
  172.1184	  -42.0295	   -2.0400	    0.3700
  172.1173	  -41.7294	   -2.5900	    0.3700
  172.1081	  -41.1684	   -1.8300	    0.8100
  172.0635	  -41.5835	   -1.6600	    0.3500
  172.0205	  -42.4560	    0.0900	    1.5500
  171.9064	  -41.8769	   -0.3800	    0.4600
  171.8540	  -42.0955	   -1.1900	    0.4100
  171.8062	  -41.7447	   -1.1900	    0.0400
  171.8043	  -42.5553	   -0.2700	    0.5900
  171.6834	  -42.4505	   -2.7600	    1.1700
