#lon lat ve vn se sn corr name
170.04809 -45.78191 NaN NaN 0.46145 0.68783 0 e2k3
169.76638 -45.97028 NaN NaN 0.43418 0.68002 0 dqyr
169.16980 -45.08040 NaN NaN 0.71536 0.55105 0 e2k4
169.42533 -45.67637 NaN NaN 0.62118 0.68477 0 dqyq
169.35455 -44.93327 NaN NaN 0.76061 0.67738 0 dqyp
169.61548 -45.10690 NaN NaN 0.61847 0.81130 0 dqyn
169.62900 -45.26284 NaN NaN 0.76534 0.76789 0 dqym
169.97852 -45.04760 NaN NaN 0.76919 0.74263 0 dqyl
169.80312 -45.47854 NaN NaN 0.70339 0.70334 0 dqyk
170.06689 -45.28491 NaN NaN 0.82254 0.83068 0 dqyj
170.21600 -45.38304 NaN NaN 0.86677 0.95865 0 dqyh
170.32169 -45.46702 NaN NaN 0.63753 1.04264 0 dqyg
170.51726 -45.37091 NaN NaN 0.55937 0.93689 0 dqyf
169.20610 -44.28609 NaN NaN 0.44352 0.50720 0 dpx3
169.30232 -44.74860 NaN NaN 0.37705 0.61527 0 dme5
169.90345 -44.93835 NaN NaN 0.50460 0.44978 0 dme3
170.12325 -45.56568 NaN NaN 0.62241 0.58821 0 dme1
170.12120 -46.14650 NaN NaN 1.02769 0.56849 0 ecfh
170.08120 -46.20190 NaN NaN 1.36833 1.47295 0 ecfg
169.32070 -45.47390 NaN NaN 1.12100 0.66906 0 e2k6
169.00359 -43.86082 NaN NaN 0.46000 0.46000 0 6731
169.25068 -44.19470 NaN NaN 0.62000 0.81000 0 aady
170.21792 -46.05620 NaN NaN 1.42337 1.60666 0 em6l
170.85798 -45.35703 NaN NaN 2.41388 2.19384 0 dy3p
168.54036 -44.11938 NaN NaN 3.81245 1.23683 0 a31r
170.70018 -44.98252 NaN NaN 1.48765 1.19599 0 eebp
170.53420 -44.80707 NaN NaN 1.42798 1.13684 0 eebn
170.24890 -44.61759 NaN NaN 1.94585 1.79064 0 eebm
169.86690 -44.54377 NaN NaN 2.14530 1.25523 0 eebl
169.49640 -44.69768 NaN NaN 1.74651 1.51261 0 eebk
168.75572 -45.12799 NaN NaN 1.52745 1.55229 0 eebj
168.70860 -45.45650 NaN NaN 2.34485 1.05811 0 eebh
168.82119 -45.91301 NaN NaN 1.44787 1.03846 0 eebg
169.37308 -46.12972 NaN NaN 1.66683 1.05811 0 eebf
170.15049 -46.16310 NaN NaN 1.46776 1.09745 0 ecfj
169.04498 -43.88000 NaN NaN 0.72000 0.65000 0 b8nc
169.04636 -43.86093 NaN NaN 0.70000 0.62000 0 b8na
169.39962 -43.99913 NaN NaN 0.62000 0.60000 0 b8lg
169.23993 -43.96076 NaN NaN 0.49000 0.54000 0 b8kt
169.14439 -43.94258 NaN NaN 0.97000 0.70000 0 b8kf
174.45817 -39.73995 NaN NaN 1.61000 0.78000 0 b2x8
169.38411 -44.38171 NaN NaN 0.52000 0.50000 0 aa8v
169.41631 -44.31289 NaN NaN 0.45000 0.53000 0 a07h
169.07449 -43.91096 NaN NaN 0.94000 0.91000 0 a071
169.35868 -44.10025 NaN NaN 0.60000 0.46000 0 a00f
