#lon lat ve vn se sn corr name
175.10500 -41.11500 -22.35002 -7.50535 0.57000 0.46000 0 7505
175.07900 -41.07700 -20.49002 -6.81530 0.67000 0.56000 0 7501
174.97800 -41.01300 -18.43002 -5.43523 0.45000 0.48000 0 7407
175.00100 -41.11400 -20.67002 -6.12535 0.59000 0.68000 0 7402
176.78500 -37.95300 5.66735 -14.10353 1.33000 1.27000 0 6891
170.29300 -43.81600 -25.23000 -10.70848 0.58000 0.84000 0 6740
169.21300 -43.77400 -7.91000 -0.81843 0.60000 0.55000 0 6739
169.67900 -43.57500 -7.39000 -0.76819 0.62000 0.68000 0 6738
169.79400 -43.57100 -10.24000 -1.83819 0.57000 0.63000 0 6737
169.91000 -43.49000 -8.17000 -0.84809 0.71000 0.79000 0 6736
169.93900 -43.72500 -20.16000 -7.55837 0.58000 0.74000 0 6735
169.99800 -43.65800 -19.39000 -7.38829 0.84000 0.71000 0 6734
169.95800 -43.60600 -16.50000 -4.31823 0.57000 0.63000 0 6733
169.36600 -43.87200 -16.01000 -5.30855 0.54000 0.75000 0 6730
169.33800 -43.81500 -13.22000 -3.83848 0.52000 0.53000 0 6729
169.44700 -43.75200 -11.98000 -2.74841 0.56000 0.46000 0 6726
169.38400 -43.65000 -6.65000 -0.86828 0.58000 0.66000 0 6725
169.47200 -43.66900 -8.04000 -1.50831 0.70000 0.68000 0 6724
169.55600 -43.58800 -6.88000 -0.50821 0.74000 1.05000 0 6723
169.65400 -43.65200 -11.55000 -2.17829 0.61000 0.95000 0 6722
169.94400 -43.56600 -13.85000 -3.38818 0.56000 0.70000 0 6719
169.80600 -43.51600 -10.01000 -0.66812 1.76000 1.27000 0 6718
169.77400 -43.44700 -5.82000 -0.78804 0.63000 0.50000 0 6717
169.85400 -43.39600 -5.47000 -0.80798 0.61000 0.52000 0 6716
169.96000 -43.45600 -8.66000 -1.38805 0.42000 0.53000 0 6715
170.00100 -43.49500 -12.25000 -0.84810 0.61000 0.80000 0 6714
170.14900 -43.45600 -12.66000 -0.41805 0.55000 0.65000 0 6713
170.05500 -43.28500 -5.38000 -0.42785 0.55000 0.74000 0 6712
170.13300 -43.23600 -4.91000 -0.36779 0.56000 0.83000 0 6711
170.11000 -43.85900 -24.14000 -10.17854 0.70000 0.77000 0 6709
170.13200 -43.99700 -26.24000 -10.99870 0.78000 0.75000 0 6708
170.13300 -44.10700 -28.63000 -12.36884 1.41000 2.34000 0 6707
170.21800 -43.64200 -23.74000 -8.54827 0.67000 0.67000 0 6706
170.32500 -43.97600 -27.36000 -11.97868 0.52000 0.67000 0 6705
170.48000 -44.22400 -30.13000 -11.73898 0.52000 0.82000 0 6704
170.79600 -44.27900 -30.99000 -12.16905 0.54000 0.52000 0 6703
170.45100 -43.87800 -26.92000 -11.72856 0.57000 0.62000 0 6701
169.15000 -52.54500 -19.30000 -14.21981 0.53000 0.62000 0 5514
171.31400 -43.29800 -24.45000 -9.44786 0.58000 0.63000 0 5512
171.35400 -43.23900 -24.49000 -9.42779 0.58000 0.63000 0 5511
168.25300 -46.53700 -26.64000 -12.69185 0.64000 0.66000 0 5509
172.74300 -43.58100 -32.94000 -10.66820 0.47000 0.49000 0 5508
166.22800 -50.51700 -24.60000 -17.93704 0.59000 0.54000 0 5507
183.52200 -43.81900 -34.95000 -0.72849 2.47000 1.42000 0 5504
174.95200 -41.11400 -20.38002 -6.13535 0.49000 0.53000 0 5502
175.15500 -41.08800 -22.09002 -8.84532 0.84000 0.82000 0 5466
175.44700 -41.20400 -29.65001 -10.06545 0.58000 0.46000 0 5462
175.39100 -41.17000 -28.59001 -9.85541 0.57000 0.62000 0 5452
175.35300 -41.13500 -27.31001 -9.88537 0.47000 0.39000 0 5446
175.45000 -41.09000 -26.92001 -9.88533 0.53000 0.61000 0 5426
175.40500 -41.10800 -28.16001 -8.45535 1.34000 0.75000 0 5423
175.30900 -41.11000 -24.50001 -10.08534 0.49000 0.54000 0 5414
175.18500 -41.07900 -23.99002 -8.51530 0.91000 0.99000 0 5402
175.34850 -41.20350 -29.06878 -9.72820 0.37978 0.47488 0 5342
175.34300 -41.28400 -31.27001 -9.44553 0.40000 0.43000 0 5341
175.28400 -41.26100 -30.02001 -9.69550 0.51000 0.44000 0 5340
175.00900 -41.39000 -29.19001 -9.34564 0.59000 0.49000 0 5339
174.90200 -41.41800 -28.79001 -9.03568 0.47000 0.51000 0 5338
174.88100 -41.09000 -18.98002 -5.38532 0.49000 0.62000 0 5337
175.19700 -41.14500 -25.08001 -7.77538 0.53000 0.47000 0 5335
175.23000 -41.11900 -24.97001 -9.05535 0.51000 0.45000 0 5333
175.39400 -41.56700 -32.93001 -9.84585 0.49000 0.42000 0 5332
175.42600 -41.51300 -32.49001 -9.95579 0.56000 0.45000 0 5331
175.58500 -41.48700 -32.67001 -9.59577 0.55000 0.74000 0 5330
175.49700 -41.52600 -32.49001 -9.09580 0.47000 0.61000 0 5329
175.46800 -41.38200 -32.33001 -9.82564 0.49000 0.49000 0 5328
175.48000 -41.29300 -31.09001 -9.82554 0.43000 0.48000 0 5327
175.39400 -41.36600 -31.79001 -9.85563 0.53000 0.50000 0 5326
175.38300 -41.32300 -31.44001 -9.43558 0.51000 0.43000 0 5325
175.19800 -41.20900 -26.32001 -9.50545 0.75000 0.60000 0 5324
175.19600 -41.16600 -25.20001 -8.81541 0.51000 0.50000 0 5323
174.88400 -41.14100 -19.61002 -5.49537 0.46000 0.45000 0 5322
174.85600 -41.13100 -19.14002 -5.14535 0.51000 0.50000 0 5321
174.85400 -41.15600 -20.21002 -5.39538 0.54000 0.61000 0 5320
174.80400 -41.13300 -18.15002 -4.46536 0.41000 0.48000 0 5319
174.88000 -41.06000 -17.89002 -4.55528 0.45000 0.48000 0 5318
174.83900 -41.06200 -18.17002 -4.35529 0.57000 0.52000 0 5317
174.82300 -41.10900 -18.30002 -4.86533 0.66000 0.90000 0 5315
174.85500 -41.07500 -17.54002 -3.06530 2.49000 1.81000 0 5314
174.84800 -41.09400 -18.74002 -4.93532 0.46000 0.71000 0 5313
174.90200 -41.02500 -18.02002 -4.73524 0.54000 0.44000 0 5312
174.91400 -41.14200 -20.21002 -5.78537 0.59000 0.54000 0 5310
174.94900 -41.17000 -21.96002 -6.76540 0.45000 0.52000 0 5309
174.90600 -41.16300 -20.52084 -6.49936 1.15672 0.57117 0 5308
174.90700 -41.10500 -19.60002 -5.50533 0.49000 0.51000 0 5307
174.96800 -41.18500 -22.42001 -7.01542 0.50000 0.48000 0 5306
174.97100 -41.14500 -21.34002 -6.65538 0.52000 0.51000 0 5305
175.03200 -41.14800 -23.37002 -7.35538 0.49000 0.44000 0 5304
175.07200 -41.13600 -23.21002 -7.87537 0.59000 0.55000 0 5303
175.01100 -41.13700 -21.88002 -7.02537 0.43000 0.44000 0 5302
175.02800 -41.19100 -24.39001 -8.00542 0.42000 0.43000 0 5301
171.99500 -43.77600 -31.98000 -11.08844 0.46000 0.62000 0 5134
171.61100 -43.53800 -30.15000 -11.46815 0.51000 0.49000 0 5129
171.48300 -42.57400 -5.85000 -0.71700 0.54000 0.60000 0 5127
171.13700 -42.88800 -7.69000 -1.58737 0.53000 0.51000 0 5125
171.14000 -42.59400 -3.81000 -0.31702 0.70000 0.74000 0 5124
171.20600 -42.66200 -4.67000 -0.50710 0.78000 0.69000 0 5123
171.29100 -42.73600 -6.21000 -0.96719 0.63000 0.53000 0 5122
171.35000 -42.76800 -7.50000 -0.83723 0.63000 0.52000 0 5121
171.52300 -42.74400 -9.49000 -1.33720 0.56000 0.64000 0 5120
171.56500 -42.75900 -10.76000 -1.96722 0.60000 0.51000 0 5119
171.62400 -42.76900 -12.01000 -2.61723 0.62000 0.58000 0 5118
171.59800 -42.79000 -12.59000 -3.46725 0.56000 0.86000 0 5117
171.56100 -42.83200 -13.85000 -4.11730 0.69000 0.67000 0 5116
171.55900 -42.90800 -17.44000 -4.75739 0.67000 0.52000 0 5112
171.56900 -42.95000 -18.64000 -4.87744 0.74000 0.59000 0 5111
171.59200 -42.98200 -20.16000 -5.76748 0.55000 0.52000 0 5110
171.58900 -43.00900 -21.22000 -6.35752 0.49000 0.58000 0 5109
171.73500 -43.00800 -22.70000 -9.50751 2.06000 2.16000 0 5107
171.77900 -43.09200 -24.74000 -8.95761 0.56000 0.52000 0 5106
171.72500 -43.21300 -26.35000 -9.58776 0.56000 0.59000 0 5105
171.71000 -43.29400 -27.60000 -10.41786 0.53000 0.61000 0 5104
171.87500 -43.33000 -29.82000 -10.85790 0.64000 0.63000 0 5103
172.00300 -43.38000 -30.78000 -10.62796 0.55000 0.52000 0 5102
172.11800 -43.50200 -31.47000 -10.73811 0.62000 0.66000 0 5101
175.41700 -40.87300 -20.63002 -8.52510 0.55000 0.45000 0 5078
171.55700 -42.88300 -15.71000 -4.64737 0.87000 0.57000 0 5009
172.67300 -43.79400 -32.03000 -10.21846 0.51000 0.51000 0 5006
173.09000 -43.76400 -32.43000 -10.16842 0.64000 0.64000 0 5005
172.97400 -43.88500 -32.22000 -10.40857 0.55000 0.61000 0 5004
171.43000 -43.17500 -22.90000 -8.91771 0.54000 0.55000 0 5003
171.52800 -43.24800 -26.06000 -10.17780 0.45000 0.52000 0 5002
171.48300 -42.78500 -8.36000 -1.53725 2.10000 1.43000 0 5001
169.99400 -44.44200 -29.33000 -14.52925 1.55000 1.44000 0 4115
169.99800 -44.31400 -27.60000 -12.22909 1.23000 1.08000 0 4044
170.11200 -44.14100 -27.74000 -11.08888 0.50000 0.55000 0 4036
170.26900 -44.10500 -28.61000 -11.93883 0.70000 0.65000 0 4024
170.05100 -44.24300 -28.39000 -12.24900 0.46000 0.46000 0 4001
175.25400 -41.14000 -25.55001 -9.35538 0.50000 0.40000 0 3564
175.25300 -41.15200 -24.87001 -9.87539 0.83000 0.67000 0 3544
175.26800 -41.16000 -25.72001 -9.91540 0.49000 0.48000 0 3543
175.08850 -41.10550 -23.01322 -6.99023 1.26925 0.64782 0 3528
171.48600 -42.73300 -8.06000 -1.16719 0.56000 0.53000 0 3512
171.46200 -42.70800 -7.83000 0.79284 1.40000 1.17000 0 3503
171.46300 -42.74050 -7.98923 -0.70220 0.46521 0.30945 0 3502
176.70300 -38.45400 4.12160 -10.95059 1.01000 1.04000 0 2405
177.00900 -37.95500 5.10454 -13.81854 1.07000 1.18000 0 2402
176.64400 -38.60800 3.17949 -11.08193 0.54232 0.43326 0 2398
176.89200 -39.23400 0.88171 -16.68607 0.60000 0.79000 0 2393
176.81900 -39.02900 1.53462 -14.42960 0.99000 0.59000 0 2392
177.17800 -38.81500 2.32524 -17.08633 0.80000 0.69000 0 2389
176.63000 -39.17900 1.31231 -13.37880 0.68000 0.55000 0 2386
176.23600 -38.58500 1.86890 -8.32317 1.26000 0.83000 0 2373
176.09400 -38.63300 -0.71570 -5.12165 0.55000 0.75000 0 2353
176.51700 -38.02600 3.27053 -1.63661 1.24000 1.43000 0 2346
176.51000 -38.83100 3.46441 -10.78606 0.62000 0.62000 0 2345
176.58400 -38.28600 1.96482 -8.60198 0.93000 1.00000 0 2306
176.26000 -38.89000 3.99966 -9.58867 0.52000 0.66000 0 2275
175.98600 -38.59800 4.25965 -3.89706 2.56000 2.36000 0 2164
176.15600 -38.52100 0.63946 -6.10421 0.94000 0.82000 0 2137
176.02100 -38.51800 2.42034 -6.17022 1.16000 0.76000 0 2118
175.91500 -38.61600 0.07404 -3.38838 0.49000 0.53000 0 2085
176.21400 -38.79100 4.49667 -7.81451 0.77000 0.79000 0 2016
176.12100 -38.68600 -0.25718 -3.26114 1.28000 1.33000 0 2013
175.99700 -38.70900 3.93839 -2.07056 1.29000 1.54000 0 2012
176.03000 -38.65700 5.30640 -1.17312 1.77000 1.31000 0 2011
175.92700 -38.68300 1.24182 -1.00737 1.33000 0.88000 0 2010
175.95700 -38.66600 0.14299 -1.54401 1.07000 0.59000 0 2009
175.96700 -38.64400 2.75433 -3.10364 1.35000 1.14000 0 2008
175.88500 -38.62400 1.46208 -3.36997 0.94000 0.65000 0 2006
175.80500 -38.67200 0.40849 -2.99850 0.82000 0.72000 0 2004
175.74600 -38.61000 -0.74590 -3.74083 1.03000 0.85000 0 2001
177.66400 -38.30000 2.69268 -17.51220 0.77000 0.72000 0 1583
175.73700 -40.84900 -24.55001 -10.59508 0.69000 0.67000 0 1527
176.46900 -39.68800 -4.92984 -12.76479 0.59000 0.49000 0 1502
176.91700 -39.47900 -4.27935 -15.20481 0.60000 0.47000 0 1501
171.01300 -42.73400 -4.36000 0.17281 0.48000 0.43000 0 1421
170.83000 -42.95300 -5.87000 0.13255 0.46000 0.47000 0 1420
171.09600 -42.99600 -11.46000 -3.43750 0.63000 0.76000 0 1415
171.41900 -43.38600 -26.94000 -10.88797 0.58000 0.48000 0 1412
171.78600 -43.03600 -23.61000 -8.66755 0.70000 0.74000 0 1410
171.68900 -43.11300 -23.45000 -9.21764 0.63000 0.67000 0 1409
172.08600 -43.22300 -29.13000 -10.37777 0.48000 0.57000 0 1408
171.43400 -43.11400 -21.14000 -9.27764 0.55000 0.66000 0 1405
171.25700 -43.19600 -21.14000 -8.31774 0.59000 0.52000 0 1403
171.72300 -43.35600 -28.74000 -11.12793 0.59000 0.66000 0 1402
171.77000 -43.25800 -28.43000 -11.55781 0.92000 0.80000 0 1401
171.63500 -43.23300 -26.25000 -10.13778 0.69000 0.82000 0 1400
172.88800 -34.43200 0.08000 -0.45811 0.40000 0.41000 0 1396
177.76900 -37.82500 3.44137 -16.45109 0.72000 0.49000 0 1304
177.30800 -37.99500 4.56723 -14.60941 0.56000 0.74000 0 1297
178.34900 -38.07500 10.53049 -20.27183 0.53000 0.66000 0 1295
177.50900 -38.07500 2.60397 -15.68110 0.82000 0.84000 0 1294
177.86300 -38.10900 2.18147 -16.97173 0.70000 0.52000 0 1292
177.24400 -38.17500 2.11204 -16.61084 0.63000 1.13000 0 1285
176.85700 -38.35000 4.19208 -11.76933 1.68000 1.98000 0 1282
178.05700 -38.37200 0.92096 -18.05227 0.80000 0.58000 0 1281
178.32500 -38.39700 -1.09945 -18.53228 0.57000 0.52000 0 1279
176.44800 -38.54500 3.47360 -9.52442 0.91000 1.44000 0 1276
178.10200 -38.55800 -3.59919 -17.89258 0.55000 0.62000 0 1274
177.80500 -38.57500 1.11158 -17.84282 0.44000 0.47000 0 1273
177.13900 -38.57700 1.79178 -15.26751 0.76000 0.78000 0 1272
176.71300 -38.94300 2.55841 -12.85533 0.54000 0.47000 0 1263
175.63700 -39.12900 2.17667 -4.60860 0.77000 0.77000 0 1261
177.14800 -39.13000 0.65195 -18.15524 0.58000 0.74000 0 1260
175.19800 -39.46000 -1.48065 -2.94429 0.60000 0.67000 0 1252
175.73600 -39.54200 -1.79048 -4.66502 0.75000 0.49000 0 1244
175.48100 -39.75500 -3.27027 -3.58440 0.90000 0.64000 0 1239
176.49700 -40.00100 -10.96994 -11.90451 0.57000 0.49000 0 1236
176.78300 -40.09300 -10.94992 -16.07448 0.93000 0.67000 0 1235
176.33900 -40.18100 -13.27999 -11.37456 0.64000 0.56000 0 1233
175.88100 -40.21100 -11.95004 -8.11456 0.48000 0.56000 0 1232
175.48800 -40.24000 -9.45007 -4.47453 0.72000 0.60000 0 1231
176.45300 -40.38500 -18.81998 -13.03467 0.77000 0.66000 0 1230
175.25900 -40.49300 -12.83005 -4.14471 0.61000 0.52000 0 1229
175.62500 -40.51000 -17.52003 -5.73475 0.46000 0.46000 0 1228
176.00600 -40.58000 -22.88001 -10.17483 0.61000 0.56000 0 1227
175.44300 -40.79700 -19.85002 -7.73502 0.42000 0.40000 0 1226
173.86800 -40.85400 -6.39002 -0.76503 2.23000 1.38000 0 1224
175.39000 -41.07500 -24.82001 -9.68531 0.41000 0.41000 0 1222
175.51300 -41.12800 -28.66001 -10.56537 0.42000 0.51000 0 1216
175.65200 -41.18000 -29.77001 -10.82542 0.48000 0.42000 0 1215
174.87400 -41.18300 -21.24002 -6.39541 0.56000 0.57000 0 1214
174.77800 -41.23100 -20.57001 -6.05547 0.62000 0.45000 0 1212
174.82800 -41.29400 -23.75001 -7.56554 0.52000 0.55000 0 1207
174.71100 -41.34100 -22.72001 -7.08559 0.53000 0.46000 0 1202
175.33200 -41.39900 -31.91001 -8.86566 0.53000 0.58000 0 1193
172.73500 -42.01400 -10.59001 -0.65635 0.91000 0.86000 0 1171
172.38000 -43.27000 -30.98000 -10.46783 0.55000 0.48000 0 1132
172.13700 -43.38000 -31.38000 -11.21796 0.41000 0.44000 0 1131
171.74200 -43.46800 -30.04000 -11.34806 0.52000 0.54000 0 1123
171.36100 -43.74700 -30.99000 -11.90840 0.69000 0.81000 0 1115
171.56500 -44.00800 -31.94000 -11.73872 0.61000 0.59000 0 1112
171.29900 -44.20500 -31.65000 -11.87896 0.53000 0.57000 0 1109
171.10300 -44.09100 -31.16000 -11.86882 0.52000 0.90000 0 1108
170.92000 -44.12200 -30.82000 -11.10886 0.58000 0.64000 0 1107
170.27800 -44.13900 -27.85000 -11.27888 2.31000 1.39000 0 1105
171.25800 -44.44300 -31.34000 -11.83925 0.53000 0.66000 0 1104
171.05700 -44.40100 -31.11000 -11.97920 0.62000 0.58000 0 1103
170.60300 -44.30000 -30.50000 -11.77907 0.50000 0.56000 0 1102
170.65400 -44.96800 -32.13000 -12.27989 1.41000 1.31000 0 1097
170.96500 -44.83000 -31.91000 -10.03972 1.32000 1.19000 0 1094
170.69500 -44.74400 -30.84000 -12.52962 1.94000 1.73000 0 1093
170.32600 -44.80400 -30.69000 -13.91969 1.47000 1.51000 0 1065
169.76300 -44.73400 -28.54000 -12.94960 0.97000 1.31000 0 1064
169.37900 -44.48300 -26.38000 -12.32930 2.11000 2.24000 0 1063
169.76900 -44.31800 -27.29000 -13.03909 1.19000 1.26000 0 1062
169.19100 -44.87200 -28.00000 -10.79977 0.78000 0.67000 0 1043
169.19800 -45.38800 -28.01000 -13.24041 0.67000 0.71000 0 1017
167.73900 -45.56200 -24.64000 -11.41063 0.71000 0.75000 0 1004
167.65500 -45.31400 -23.78000 -3.09032 0.85000 1.30000 0 1002
170.70900 -44.52000 -31.16000 -12.05934 0.70000 0.84000 0 eejg
176.67300 -37.86200 0.15712 -7.70684 2.41000 2.00000 0 eay8
175.10900 -41.16800 -25.36001 -9.09541 1.83000 1.50000 0 eaxw
175.32100 -41.60700 -33.61001 -10.23590 0.98000 1.48000 0 eaxv
175.05100 -41.26300 -27.24001 -9.22551 1.38000 1.24000 0 eaxu
175.40300 -41.45100 -33.73001 -10.18572 1.03000 1.25000 0 eaxt
175.35600 -41.52300 -33.59001 -9.70580 1.42000 0.99000 0 eaxr
175.79100 -41.17900 -29.30001 -11.23542 1.05000 1.19000 0 eaxq
175.19700 -41.52300 -33.26001 -9.72580 1.16000 1.13000 0 eaxp
174.70400 -41.23200 -19.47001 -5.35547 1.84000 0.91000 0 eaxn
167.13500 -45.00400 -19.05000 -0.24994 1.64000 2.07000 0 dn4g
175.54100 -40.92100 -23.51002 -9.62515 0.69000 0.60000 0 dk29
176.03100 -40.88600 -25.97001 -9.06512 0.91000 0.84000 0 dk1u
175.89100 -40.88300 -25.89001 -9.14512 0.63000 0.61000 0 dk1r
176.06000 -40.71400 -25.77001 -9.51496 0.62000 0.71000 0 dk1q
175.85700 -40.68200 -23.38001 -9.85492 0.73000 0.74000 0 dk1p
176.02200 -40.30200 -17.55002 -8.96462 0.65000 0.69000 0 dk1n
171.73500 -42.71100 -10.99000 -1.97716 0.88000 0.84000 0 dk0t
171.83200 -42.60700 -8.60000 -0.33704 0.81000 0.84000 0 dk0r
171.49300 -42.99600 -18.61000 -5.23750 0.84000 0.92000 0 dk0q
171.48800 -42.91900 -16.17000 -4.21741 0.86000 1.26000 0 dk0p
171.87700 -42.69300 -12.69000 -2.44714 0.87000 0.87000 0 dk0n
171.70800 -42.66900 -8.76000 -0.68711 0.88000 0.76000 0 dk0m
171.79900 -42.78800 -16.99000 -3.26725 1.06000 1.11000 0 dk0l
174.74900 -41.17800 -18.25002 -5.00541 1.78000 0.89000 0 df6h
168.67000 -45.04300 -27.62000 -8.42998 1.67000 0.95000 0 df5e
168.94500 -44.87200 -27.40000 -9.86977 0.99000 1.01000 0 df5a
168.40900 -44.87300 -26.94000 -9.05977 1.01000 1.27000 0 df59
168.78600 -44.49800 -23.89000 -8.07931 1.09000 1.34000 0 df57
168.46900 -44.64400 -23.17000 -8.79949 1.02000 1.17000 0 df56
168.96600 -44.16700 -19.91000 -6.18891 0.87000 1.01000 0 df53
168.33800 -44.22900 -9.19000 -0.73899 0.99000 0.98000 0 df52
168.68500 -44.27200 -17.81000 -7.07904 1.06000 1.12000 0 df51
167.86800 -44.78500 -25.18000 -6.42967 0.87000 0.95000 0 df50
167.96700 -44.99700 -30.44000 -7.98993 1.30000 1.16000 0 df4y
167.37800 -45.69300 -24.15000 -8.70079 1.36000 1.82000 0 df4x
167.41100 -45.46000 -22.44000 -6.44050 1.40000 1.23000 0 df4w
167.55900 -45.40200 -23.06000 -4.16043 1.24000 1.33000 0 df4v
167.18000 -45.34300 -21.45000 -5.73036 1.67000 1.16000 0 df4u
167.21600 -45.26800 -19.96000 -3.43026 1.26000 0.89000 0 df4q
167.52600 -45.11500 -21.46000 -5.44007 1.18000 1.75000 0 df4p
167.63300 -44.86800 -17.77000 -3.51977 2.13000 1.93000 0 df4n
