#lon lat ve vn vu se sn su corr corr corr name
170.59720 -45.88370 -29.15200 -12.99584 -1.47214 0.29402 0.25650 0.42827 0 0 0 dund
170.51090 -45.86950 -28.84661 -12.80689 -0.81709 0.17379 0.19717 0.23244 0 0 0 ousd
174.83439 -36.60280 0.53748 -0.71312 -0.64761 0.08277 0.14130 0.29044 0 0 0 auck
174.80590 -41.32348 -23.52802 -7.55323 -2.23657 0.31792 0.26594 0.31970 0 0 0 wgtn
172.65470 -43.70271 -32.21931 -11.13710 -1.39061 0.26663 0.32912 0.48101 0 0 0 mqzg
169.30825 -45.23100 -28.28558 -13.21428 -0.76030 0.57223 0.32100 0.37729 0 0 0 lexa
174.66279 -36.43440 0.30637 -0.58338 -0.97347 0.24288 0.21551 0.32168 0 0 0 wark
174.31460 -35.80380 0.55398 -0.28577 -0.74413 0.13778 0.10507 0.38325 0 0 0 whng
176.26090 -37.72880 1.46759 -1.49689 0.26847 0.37315 0.21883 0.38165 0 0 0 trng
174.11820 -39.18255 -1.30397 -1.09636 -1.26604 0.23966 0.12558 0.41710 0 0 0 nply
174.85410 -38.51300 -0.61889 -0.65989 -1.28022 0.14220 0.10256 0.46994 0 0 0 maho
173.27310 -35.06890 0.08238 -0.29508 -1.04192 0.18289 0.16912 0.33945 0 0 0 ktia
170.98431 -42.71290 -3.57160 -0.81653 -0.74625 0.17550 0.36596 0.62329 0 0 0 hoki
175.10920 -37.80680 -0.36739 -0.82402 -0.74714 0.11466 0.09232 0.36993 0 0 0 hamt
174.78160 -41.29040 -21.65062 -6.29821 -3.01776 0.58406 0.45591 0.41776 0 0 0 wgtt
171.80621 -41.74472 -2.59683 -0.79755 -1.04225 0.35819 0.21612 0.46542 0 0 0 west
170.92030 -44.65570 -30.23164 -12.77464 -0.97167 0.22199 0.19932 0.44766 0 0 0 waim
173.43371 -41.18350 -5.58220 -0.55802 -2.04492 1.25009 0.18523 0.62860 0 0 0 nlsn
175.58458 -41.06199 -26.12599 -10.80271 -3.37112 0.10799 0.20579 0.64766 0 0 0 mast
172.26631 -42.78339 -21.62935 -9.46992 1.00570 0.46900 0.25611 0.48793 0 0 0 lkta
173.53366 -42.42548 -28.16130 -10.34363 -1.32170 0.20722 0.23183 0.38232 0 0 0 kaik
178.30335 -37.56102 5.05489 -17.58145 -0.24087 0.16264 0.15036 0.38666 0 0 0 hikb
168.78555 -44.07320 -12.54272 -4.49470 1.06982 0.17442 0.12749 0.41612 0 0 0 haas
170.62940 -45.81431 -29.24049 -12.48956 -1.23966 0.15763 0.18304 0.18353 0 0 0 dunt
175.74958 -36.86541 1.32329 -0.57407 -0.36218 0.11359 0.10717 0.33385 0 0 0 corm
168.29209 -46.58508 -26.06558 -13.84171 -0.77762 0.50301 0.21656 0.46294 0 0 0 bluf
183.43416 -43.95579 -33.03110 -0.31604 -0.12813 0.28289 0.21085 0.62381 0 0 0 chat
177.01389 -37.98169 3.81779 -12.44343 -0.91015 0.22508 0.41241 0.49006 0 0 0 whkt
174.82142 -39.78689 -2.73041 -2.15395 -0.51708 0.40114 0.28586 0.36218 0 0 0 wang
176.08100 -38.74271 3.77256 -5.69100 1.48574 0.52032 0.46079 0.55182 0 0 0 taup
169.81582 -43.53168 -7.96576 -2.22695 0.47388 0.15729 0.13872 0.57790 0 0 0 quar
175.25479 -41.56921 -32.87932 -9.44518 -4.43451 0.16373 0.31081 0.45320 0 0 0 pali
172.72220 -43.60580 -32.34417 -11.68566 -1.02503 0.49452 0.51817 0.27952 0 0 0 lytt
172.52956 -40.82660 -2.38794 0.10434 -1.08313 0.43345 0.20776 0.42474 0 0 0 gldb
177.07635 -39.65789 -5.38625 -16.49680 0.49752 1.28799 0.61476 0.55708 0 0 0 ckid
174.93290 -41.19640 -21.33795 -6.44845 -2.03090 1.07925 0.41688 0.47110 0 0 0 avln
174.76990 -36.84360 0.49915 -0.42949 -1.01926 0.33539 0.16647 0.28925 0 0 0 takl
183.38288 -43.73547 -33.80289 -0.50315 -1.42131 0.17977 0.14265 0.48310 0 0 0 chti
175.47046 -39.38458 -1.38755 -2.19761 -0.20438 0.45121 0.30159 0.51020 0 0 0 vgmt
175.68790 -41.39800 -32.89291 -10.07498 -4.56904 0.20755 0.17334 0.38687 0 0 0 trav
174.28010 -41.19160 -13.16383 -2.90804 -1.69483 1.29539 0.79054 0.92119 0 0 0 tory
175.89050 -41.10660 -27.93135 -11.55117 -3.63981 0.22300 0.23642 0.47104 0 0 0 tema
176.49251 -39.16552 1.27026 -11.32178 -0.20053 0.17737 0.16100 0.35708 0 0 0 ripa
176.55626 -37.84589 0.36861 -2.81292 2.77182 0.46258 0.35386 0.59393 0 0 0 rgop
176.72472 -37.91544 1.79395 -5.50886 4.45910 0.18144 1.07993 1.55803 0 0 0 rgmt
178.25740 -38.07140 5.99983 -18.50708 0.70472 0.15711 0.15929 0.35749 0 0 0 puke
176.63520 -40.26640 -16.18772 -14.12232 -2.62677 1.46274 0.40754 0.55389 0 0 0 pora
176.86390 -40.03310 -11.04604 -15.86751 -1.21708 2.40024 0.74681 0.48274 0 0 0 pawa
170.46493 -43.98570 -27.40172 -12.29551 -0.32605 0.14433 0.33000 0.25567 0 0 0 mtjo
177.90700 -39.15258 -2.69463 -20.29710 0.15272 0.51977 0.49017 0.45983 0 0 0 mahi
176.93670 -39.33230 -0.87018 -16.41085 -3.19411 0.21097 0.25237 0.37861 0 0 0 leyl
