#lon lat ve vn se sn corr name
174.97800 -41.01300 -18.43000 -5.43518 0.45000 0.48000 0 7407
175.00100 -41.11400 -20.67000 -6.12530 0.59000 0.68000 0 7402
176.78500 -37.95300 5.58000 -14.19177 1.33000 1.27000 0 6891
170.29300 -43.81600 -25.23000 -10.70848 0.58000 0.84000 0 6740
169.21300 -43.77400 -7.91000 -0.81843 0.60000 0.55000 0 6739
169.67900 -43.57500 -7.39000 -0.76819 0.62000 0.68000 0 6738
169.79400 -43.57100 -10.24000 -1.83819 0.57000 0.63000 0 6737
169.91000 -43.49000 -8.17000 -0.84809 0.71000 0.79000 0 6736
169.93900 -43.72500 -20.16000 -7.55837 0.58000 0.74000 0 6735
169.99800 -43.65800 -19.39000 -7.38829 0.84000 0.71000 0 6734
169.95800 -43.60600 -16.50000 -4.31823 0.57000 0.63000 0 6733
169.36600 -43.87200 -16.01000 -5.30855 0.54000 0.75000 0 6730
169.33800 -43.81500 -13.22000 -3.83848 0.52000 0.53000 0 6729
169.44700 -43.75200 -11.98000 -2.74841 0.56000 0.46000 0 6726
169.38400 -43.65000 -6.65000 -0.86828 0.58000 0.66000 0 6725
169.47200 -43.66900 -8.04000 -1.50831 0.70000 0.68000 0 6724
169.55600 -43.58800 -6.88000 -0.50821 0.74000 1.05000 0 6723
169.65400 -43.65200 -11.55000 -2.17829 0.61000 0.95000 0 6722
169.94400 -43.56600 -13.85000 -3.38818 0.56000 0.70000 0 6719
169.80600 -43.51600 -10.01000 -0.66812 1.76000 1.27000 0 6718
169.77400 -43.44700 -5.82000 -0.78804 0.63000 0.50000 0 6717
169.85400 -43.39600 -5.47000 -0.80798 0.61000 0.52000 0 6716
169.96000 -43.45600 -8.66000 -1.38805 0.42000 0.53000 0 6715
170.00100 -43.49500 -12.25000 -0.84810 0.61000 0.80000 0 6714
170.14900 -43.45600 -12.66000 -0.41805 0.55000 0.65000 0 6713
170.05500 -43.28500 -5.38000 -0.42785 0.55000 0.74000 0 6712
170.13300 -43.23600 -4.91000 -0.36779 0.56000 0.83000 0 6711
170.11000 -43.85900 -24.14000 -10.17854 0.70000 0.77000 0 6709
170.13200 -43.99700 -26.24000 -10.99870 0.78000 0.75000 0 6708
170.13300 -44.10700 -28.63000 -12.36884 1.41000 2.34000 0 6707
170.21800 -43.64200 -23.74000 -8.54827 0.67000 0.67000 0 6706
170.32500 -43.97600 -27.36000 -11.97868 0.52000 0.67000 0 6705
170.48000 -44.22400 -30.13000 -11.73898 0.52000 0.82000 0 6704
170.79600 -44.27900 -30.99000 -12.16905 0.54000 0.52000 0 6703
170.45100 -43.87800 -26.92000 -11.72856 0.57000 0.62000 0 6701
169.15000 -52.54500 -19.30000 -14.21981 0.53000 0.62000 0 5514
171.31400 -43.29800 -24.45000 -9.44786 0.58000 0.63000 0 5512
171.35400 -43.23900 -24.49000 -9.42779 0.58000 0.63000 0 5511
168.25300 -46.53700 -26.64000 -12.69185 0.64000 0.66000 0 5509
172.74300 -43.58100 -32.94000 -10.66820 0.47000 0.49000 0 5508
166.22800 -50.51700 -24.60000 -17.93704 0.59000 0.54000 0 5507
183.52200 -43.81900 -34.95000 -0.72849 2.47000 1.42000 0 5504
174.95200 -41.11400 -20.38000 -6.13530 0.49000 0.53000 0 5502
175.15500 -41.08800 -22.09000 -8.84527 0.84000 0.82000 0 5466
175.44700 -41.20400 -29.65000 -10.06540 0.58000 0.46000 0 5462
175.39100 -41.17000 -28.59000 -9.85536 0.57000 0.62000 0 5452
175.35300 -41.13500 -27.31000 -9.88532 0.47000 0.39000 0 5446
175.45000 -41.09000 -26.92000 -9.88527 0.53000 0.61000 0 5426
175.40500 -41.10800 -28.16000 -8.45529 1.34000 0.75000 0 5423
175.30900 -41.11000 -24.50000 -10.08529 0.49000 0.54000 0 5414
175.18500 -41.07900 -23.99000 -8.51525 0.91000 0.99000 0 5402
175.34850 -41.20350 -29.06877 -9.72815 0.37952 0.47514 0 5342
175.34300 -41.28400 -31.27000 -9.44549 0.40000 0.43000 0 5341
175.28400 -41.26100 -30.02000 -9.69546 0.51000 0.44000 0 5340
175.00900 -41.39000 -29.19000 -9.34561 0.59000 0.49000 0 5339
174.90200 -41.41800 -28.79000 -9.03565 0.47000 0.51000 0 5338
174.88100 -41.09000 -18.98000 -5.38527 0.49000 0.62000 0 5337
175.19700 -41.14500 -25.08000 -7.77533 0.53000 0.47000 0 5335
175.23000 -41.11900 -24.97000 -9.05530 0.51000 0.45000 0 5333
175.39400 -41.56700 -32.93000 -9.84582 0.49000 0.42000 0 5332
175.42600 -41.51300 -32.49000 -9.95576 0.56000 0.45000 0 5331
175.58500 -41.48700 -32.67000 -9.59573 0.55000 0.74000 0 5330
175.49700 -41.52600 -32.49000 -9.09577 0.47000 0.61000 0 5329
175.46800 -41.38200 -32.33000 -9.82560 0.49000 0.49000 0 5328
175.48000 -41.29300 -31.09000 -9.82550 0.43000 0.48000 0 5327
175.39400 -41.36600 -31.79000 -9.85559 0.53000 0.50000 0 5326
175.38300 -41.32300 -31.44000 -9.43554 0.51000 0.43000 0 5325
175.19800 -41.20900 -26.32000 -9.50540 0.75000 0.60000 0 5324
175.19600 -41.16600 -25.20000 -8.81536 0.51000 0.50000 0 5323
174.88400 -41.14100 -19.61000 -5.49533 0.46000 0.45000 0 5322
174.85600 -41.13100 -19.14000 -5.14531 0.51000 0.50000 0 5321
174.85400 -41.15600 -20.21000 -5.39534 0.54000 0.61000 0 5320
174.80400 -41.13300 -18.15000 -4.46532 0.41000 0.48000 0 5319
174.88000 -41.06000 -17.89000 -4.55523 0.45000 0.48000 0 5318
174.83900 -41.06200 -18.17000 -4.35524 0.57000 0.52000 0 5317
174.82300 -41.10900 -18.30000 -4.86529 0.66000 0.90000 0 5315
174.85500 -41.07500 -17.54000 -3.06525 2.49000 1.81000 0 5314
174.84800 -41.09400 -18.74000 -4.93527 0.46000 0.71000 0 5313
174.90200 -41.02500 -18.02000 -4.73519 0.54000 0.44000 0 5312
174.91400 -41.14200 -20.21000 -5.78533 0.59000 0.54000 0 5310
174.94900 -41.17000 -21.96000 -6.76536 0.45000 0.52000 0 5309
174.90600 -41.16300 -20.52082 -6.49932 1.15664 0.57078 0 5308
174.90700 -41.10500 -19.60000 -5.50528 0.49000 0.51000 0 5307
174.96800 -41.18500 -22.42000 -7.01538 0.50000 0.48000 0 5306
174.97100 -41.14500 -21.34000 -6.65533 0.52000 0.51000 0 5305
175.03200 -41.14800 -23.37000 -7.35533 0.49000 0.44000 0 5304
175.07200 -41.13600 -23.21000 -7.87532 0.59000 0.55000 0 5303
175.01100 -41.13700 -21.88000 -7.02532 0.43000 0.44000 0 5302
175.02800 -41.19100 -24.39000 -8.00538 0.42000 0.43000 0 5301
171.99500 -43.77600 -31.98000 -11.08844 0.46000 0.62000 0 5134
171.61100 -43.53800 -30.15000 -11.46815 0.51000 0.49000 0 5129
171.48300 -42.57400 -5.85000 -0.71700 0.54000 0.60000 0 5127
171.13700 -42.88800 -7.69000 -1.58737 0.53000 0.51000 0 5125
171.14000 -42.59400 -3.81000 -0.31702 0.70000 0.74000 0 5124
171.20600 -42.66200 -4.67000 -0.50710 0.78000 0.69000 0 5123
171.29100 -42.73600 -6.21000 -0.96719 0.63000 0.53000 0 5122
171.35000 -42.76800 -7.50000 -0.83723 0.63000 0.52000 0 5121
171.52300 -42.74400 -9.49000 -1.33720 0.56000 0.64000 0 5120
171.56500 -42.75900 -10.76000 -1.96722 0.60000 0.51000 0 5119
171.62400 -42.76900 -12.01000 -2.61723 0.62000 0.58000 0 5118
171.59800 -42.79000 -12.59000 -3.46725 0.56000 0.86000 0 5117
171.56100 -42.83200 -13.85000 -4.11730 0.69000 0.67000 0 5116
171.55900 -42.90800 -17.44000 -4.75739 0.67000 0.52000 0 5112
171.56900 -42.95000 -18.64000 -4.87744 0.74000 0.59000 0 5111
171.59200 -42.98200 -20.16000 -5.76748 0.55000 0.52000 0 5110
171.58900 -43.00900 -21.22000 -6.35752 0.49000 0.58000 0 5109
171.73500 -43.00800 -22.70000 -9.50751 2.06000 2.16000 0 5107
171.77900 -43.09200 -24.74000 -8.95761 0.56000 0.52000 0 5106
171.72500 -43.21300 -26.35000 -9.58776 0.56000 0.59000 0 5105
171.71000 -43.29400 -27.60000 -10.41786 0.53000 0.61000 0 5104
171.87500 -43.33000 -29.82000 -10.85790 0.64000 0.63000 0 5103
172.00300 -43.38000 -30.78000 -10.62796 0.55000 0.52000 0 5102
172.11800 -43.50200 -31.47000 -10.73811 0.62000 0.66000 0 5101
175.41700 -40.87300 -20.63000 -8.52502 0.55000 0.45000 0 5078
171.55700 -42.88300 -15.71000 -4.64737 0.87000 0.57000 0 5009
172.67300 -43.79400 -32.03000 -10.21846 0.51000 0.51000 0 5006
173.09000 -43.76400 -32.43000 -10.16842 0.64000 0.64000 0 5005
172.97400 -43.88500 -32.22000 -10.40857 0.55000 0.61000 0 5004
171.43000 -43.17500 -22.90000 -8.91771 0.54000 0.55000 0 5003
171.52800 -43.24800 -26.06000 -10.17780 0.45000 0.52000 0 5002
171.48300 -42.78500 -8.36000 -1.53725 2.10000 1.43000 0 5001
169.99400 -44.44200 -29.33000 -14.52925 1.55000 1.44000 0 4115
169.99800 -44.31400 -27.60000 -12.22909 1.23000 1.08000 0 4044
170.11200 -44.14100 -27.74000 -11.08888 0.50000 0.55000 0 4036
170.26900 -44.10500 -28.61000 -11.93883 0.70000 0.65000 0 4024
170.05100 -44.24300 -28.39000 -12.24900 0.46000 0.46000 0 4001
175.25400 -41.14000 -25.55000 -9.35533 0.50000 0.40000 0 3564
175.25300 -41.15200 -24.87000 -9.87534 0.83000 0.67000 0 3544
175.26800 -41.16000 -25.72000 -9.91535 0.49000 0.48000 0 3543
175.08850 -41.10550 -23.01320 -6.99018 1.27008 0.64794 0 3528
171.48600 -42.73300 -8.06000 -1.16719 0.56000 0.53000 0 3512
171.46200 -42.70800 -7.83000 0.79284 1.40000 1.17000 0 3503
171.46300 -42.74050 -7.98923 -0.70220 0.46534 0.30969 0 3502
176.70300 -38.45400 3.97000 -10.86231 1.01000 1.04000 0 2405
177.00900 -37.95500 5.08000 -13.83177 1.07000 1.18000 0 2402
176.64400 -38.60800 3.09331 -11.01136 0.54205 0.43331 0 2398
176.89200 -39.23400 0.88000 -16.68317 0.60000 0.79000 0 2393
176.81900 -39.02900 1.53000 -14.42294 0.99000 0.59000 0 2392
177.17800 -38.81500 2.32000 -17.08271 0.80000 0.69000 0 2389
176.63000 -39.17900 1.31000 -13.37311 0.68000 0.55000 0 2386
176.23600 -38.58500 1.00000 -6.16246 1.26000 0.83000 0 2373
176.09400 -38.63300 -0.94000 -3.95251 0.55000 0.75000 0 2353
176.51700 -38.02600 2.84000 -2.60185 1.24000 1.43000 0 2346
176.51000 -38.83100 3.44000 -10.74273 0.62000 0.62000 0 2345
176.58400 -38.28600 0.47000 -7.70213 0.93000 1.00000 0 2306
176.26000 -38.89000 3.99000 -9.53279 0.52000 0.66000 0 2275
175.98600 -38.59800 5.16000 -3.46247 2.56000 2.36000 0 2164
176.15600 -38.52100 1.19000 -2.81239 0.94000 0.82000 0 2137
176.02100 -38.51800 4.60000 -5.08238 1.16000 0.76000 0 2118
175.91500 -38.61600 0.94000 -3.12249 0.49000 0.53000 0 2085
176.21400 -38.79100 4.47000 -7.66268 0.77000 0.79000 0 2016
176.12100 -38.68600 -0.38000 -2.60257 1.28000 1.33000 0 2013
175.99700 -38.70900 4.06000 -1.46259 1.29000 1.54000 0 2012
176.03000 -38.65700 5.28000 -0.09254 1.77000 1.31000 0 2011
175.92700 -38.68300 1.65000 -0.50256 1.33000 0.88000 0 2010
175.95700 -38.66600 0.66000 -0.78255 1.07000 0.59000 0 2009
175.96700 -38.64400 3.43000 -2.31252 1.35000 1.14000 0 2008
175.88500 -38.62400 2.09000 -3.15250 0.94000 0.65000 0 2006
175.80500 -38.67200 0.59000 -2.89255 0.82000 0.72000 0 2004
175.74600 -38.61000 -0.60000 -3.69248 1.03000 0.85000 0 2001
177.66400 -38.30000 2.69000 -17.51215 0.77000 0.72000 0 1583
175.73700 -40.84900 -24.55000 -10.59499 0.69000 0.67000 0 1527
176.46900 -39.68800 -4.93000 -12.76368 0.59000 0.49000 0 1502
176.91700 -39.47900 -4.28000 -15.20344 0.60000 0.47000 0 1501
171.01300 -42.73400 -4.36000 0.17281 0.48000 0.43000 0 1421
170.83000 -42.95300 -5.87000 0.13255 0.46000 0.47000 0 1420
171.09600 -42.99600 -11.46000 -3.43750 0.63000 0.76000 0 1415
171.41900 -43.38600 -26.94000 -10.88797 0.58000 0.48000 0 1412
171.78600 -43.03600 -23.61000 -8.66755 0.70000 0.74000 0 1410
171.68900 -43.11300 -23.45000 -9.21764 0.63000 0.67000 0 1409
172.08600 -43.22300 -29.13000 -10.37777 0.48000 0.57000 0 1408
171.43400 -43.11400 -21.14000 -9.27764 0.55000 0.66000 0 1405
171.25700 -43.19600 -21.14000 -8.31774 0.59000 0.52000 0 1403
171.72300 -43.35600 -28.74000 -11.12793 0.59000 0.66000 0 1402
171.77000 -43.25800 -28.43000 -11.55781 0.92000 0.80000 0 1401
171.63500 -43.23300 -26.25000 -10.13778 0.69000 0.82000 0 1400
172.88800 -34.43200 0.08000 -0.45812 0.40000 0.41000 0 1396
177.76900 -37.82500 3.44000 -16.45163 0.72000 0.49000 0 1304
177.30800 -37.99500 4.56000 -14.61182 0.56000 0.74000 0 1297
