#lon lat ve vn vu se sn su corr corr corr name
174.21380 -41.74900 -23.59302 -8.50625 -0.62914 0.47948 0.54498 0.50200 0 0 0 cmbl
176.24610 -40.67980 -25.74433 -10.10462 -4.69469 0.32306 0.36267 0.48752 0 0 0 birf
176.46120 -40.53980 -24.31310 -12.08405 -4.06314 0.51406 0.18126 0.41631 0 0 0 akto
173.98420 -41.56066 -14.00427 -3.84943 -1.49158 1.71003 0.97331 0.57788 0 0 0 with
177.41540 -38.49556 1.84604 -16.30151 0.21656 0.13786 0.23389 0.59126 0 0 0 rawi
177.30760 -38.04650 2.96596 -14.55753 -1.82993 0.18342 0.21179 0.40518 0 0 0 optk
174.06030 -41.01930 -9.88396 -1.02465 -2.11587 2.76347 1.92960 0.70684 0 0 0 okoh
168.11820 -45.36651 -25.35993 -11.73326 -0.33489 1.04291 0.39863 0.43287 0 0 0 mavl
175.24060 -40.58880 -14.57970 -4.10938 -1.13576 2.06741 1.02127 1.21787 0 0 0 levn
177.23440 -39.07720 0.94825 -17.46585 -1.43866 0.21422 0.21615 0.45057 0 0 0 wahu
175.23810 -40.08030 -4.83894 -2.15922 -2.38829 0.44174 0.24584 0.39551 0 0 0 gnbk
166.68071 -46.16619 -23.98481 -12.13095 1.39644 0.74961 0.43123 0.58870 0 0 0 pygr
176.06317 -39.48918 -1.44047 -6.53566 -0.26322 0.18758 0.44474 0.38142 0 0 0 bhst
169.88531 -43.58403 -13.61491 -3.60740 1.34733 0.30564 0.13963 0.44593 0 0 0 waka
175.34641 -39.28927 -0.77301 -2.12229 -0.48800 0.15664 0.24574 0.46483 0 0 0 vgpk
175.88569 -40.77601 -24.59897 -10.35628 -4.80232 0.38103 0.33052 0.65043 0 0 0 tint
176.51462 -38.33889 0.71743 -6.82408 -3.26363 0.13763 0.34656 0.63319 0 0 0 rgrr
175.99928 -40.60108 -23.24145 -10.35479 -3.90881 0.74569 0.61679 0.59588 0 0 0 ptoi
175.42692 -41.38152 -32.54273 -9.70258 -4.82236 0.20170 0.25791 0.40455 0 0 0 parw
177.88330 -38.92260 1.05063 -19.98065 -3.44549 0.63139 0.20527 0.54664 0 0 0 pari
174.95210 -41.02180 -17.87733 -5.03521 -1.25874 1.30067 0.41224 0.37021 0 0 0 paek
175.76132 -40.38542 -16.27225 -7.45377 -1.12302 1.42130 0.76277 1.52315 0 0 0 nrrd
176.80661 -39.09702 1.92884 -14.70774 -0.01843 0.18579 0.27037 0.52318 0 0 0 nmai
177.52620 -38.33382 1.96925 -16.32319 0.43640 0.14143 0.15087 0.38140 0 0 0 matw
175.57488 -40.66870 -19.55488 -7.34125 -2.09185 0.77564 0.20549 0.60707 0 0 0 mang
169.77516 -43.60839 -11.29125 -3.23045 1.03301 0.52065 0.15430 0.31753 0 0 0 kara
175.51519 -40.89722 -20.86633 -9.77177 -2.67065 0.66159 0.30535 0.49670 0 0 0 hold
177.56938 -38.68681 0.58032 -16.86103 0.56977 0.89002 0.14195 0.39575 0 0 0 hana
178.21110 -38.48800 -3.31128 -17.73471 -0.57215 1.67273 0.32230 0.49112 0 0 0 cnst
169.85585 -43.66623 -16.06864 -6.55408 3.38407 0.49525 0.37598 0.40320 0 0 0 cncl
175.14549 -41.14468 -23.60287 -8.39307 -2.16826 0.69343 0.39595 0.61635 0 0 0 clim
147.05569 -19.26928 0.18072 0.28221 -0.78287 0.10521 0.07887 0.29766 0 0 0 tow2
117.09719 -20.98143 -0.37254 0.50046 -0.58553 0.09082 0.07054 0.41700 0 0 0 karr
147.43874 -42.80471 0.11907 -0.43467 -1.02323 0.09602 0.12737 0.11720 0 0 0 hob2
133.80983 -31.86666 0.29962 -0.17143 -0.52738 0.06208 0.06836 0.29441 0 0 0 cedu
133.88552 -23.67012 0.17755 0.19297 -0.55023 0.07478 0.06887 0.20333 0 0 0 alic
177.81142 -38.43749 0.56774 -18.28046 -0.87102 0.43746 0.24761 0.62900 0 0 0 tkar
178.00589 -38.16241 1.35395 -18.70230 2.42892 0.16481 0.17889 0.50371 0 0 0 tauw
177.34750 -38.77961 1.65429 -17.10300 -0.92786 0.32062 0.29233 0.47795 0 0 0 snst
175.40432 -41.18691 -29.22600 -10.34226 -4.40503 0.17338 0.28733 0.71947 0 0 0 rdlv
177.67753 -37.96500 2.58041 -16.10003 -0.17963 0.19123 0.16193 0.55349 0 0 0 raum
177.08608 -38.91619 2.17412 -16.02790 -0.06473 0.19123 0.22339 0.47309 0 0 0 rahi
175.24138 -41.00159 -20.77318 -7.54596 -2.17979 1.43357 0.66872 0.79968 0 0 0 mtqn
176.74973 -38.61686 3.04990 -11.57783 -0.62623 0.17257 0.44407 0.47666 0 0 0 ming
171.57530 -43.59135 -30.20066 -13.35452 -0.86362 0.21276 0.34182 0.40631 0 0 0 meth
173.79381 -41.29139 -9.31563 -1.29221 -1.31561 2.17920 1.34301 0.48796 0 0 0 maha
176.77281 -38.05253 0.06179 -11.11864 -1.46679 0.42472 0.40574 0.45830 0 0 0 rgkw
178.40870 -37.82500 6.49576 -20.10283 -0.18991 0.36949 0.21293 0.44354 0 0 0 wmat
175.78560 -39.68250 -2.48634 -4.84114 0.81350 0.29265 0.21228 0.57098 0 0 0 thap
177.69789 -38.81420 -1.08092 -17.45676 0.69887 1.14308 0.15982 0.36375 0 0 0 prtu
175.53615 -40.18138 -8.13065 -2.65063 -0.67889 0.97238 0.53307 1.23896 0 0 0 mtbl
175.45928 -39.97628 -4.66102 -3.25773 -0.60411 0.38202 0.23826 0.49936 0 0 0 grng
178.04600 -38.41145 -0.21626 -18.49660 0.37892 0.61645 0.40453 0.40902 0 0 0 ahti
176.44060 -40.06420 -10.95702 -11.10306 -2.80159 0.41531 0.15135 0.37730 0 0 0 wpuk
176.54300 -39.89589 -10.42354 -11.53539 -3.50896 1.14303 0.14531 0.43686 0 0 0 wpaw
176.20048 -39.91679 -7.38730 -9.61644 -1.66263 0.85779 0.41047 0.68055 0 0 0 pnui
176.69655 -39.44420 -0.61850 -14.13760 -2.62428 0.88770 0.29701 0.35988 0 0 0 mcnl
176.42279 -39.42402 -1.09738 -11.78411 -1.99720 0.22828 0.66999 0.52367 0 0 0 kawk
175.81083 -38.61102 0.24336 -2.38836 -0.71061 0.16344 0.14315 0.60627 0 0 0 tgtk
175.77015 -38.86337 -1.69533 -3.33004 0.64157 0.13549 0.15053 0.64876 0 0 0 tgra
175.71191 -38.67810 -0.49432 -1.97043 -0.30740 0.08961 0.13122 0.50495 0 0 0 tghr
176.19418 -38.17662 4.46090 -4.61228 -4.74079 0.41743 0.36510 0.67812 0 0 0 rgut
176.50610 -38.23379 -1.64345 -5.93359 -13.26467 0.27160 0.33347 0.71771 0 0 0 rgta
176.52120 -38.05728 0.43358 -6.38051 -3.31009 0.16476 0.59525 0.51808 0 0 0 rgre
176.46711 -38.13832 1.52899 -10.60326 -17.05235 0.35281 0.42040 0.66431 0 0 0 rgmk
176.38571 -38.00329 1.46002 -4.60947 -2.37064 0.30525 0.38159 0.56789 0 0 0 rgli
176.24408 -38.02008 1.48965 -2.92770 -0.87554 0.23803 0.31890 0.62159 0 0 0 rgka
176.28798 -38.38579 0.49937 -5.04682 -9.83267 0.29908 0.67975 0.74824 0 0 0 rghr
176.34303 -38.56204 0.99766 -6.59436 -3.23555 0.16210 0.18986 0.65560 0 0 0 rgar
175.17040 -40.81650 -16.66204 -4.49627 -1.33959 2.77029 0.84864 0.70931 0 0 0 otak
170.19014 -43.86249 -24.80349 -11.91245 2.46989 0.55683 0.41820 0.29525 0 0 0 bnet
115.34698 -29.04656 -0.32815 -0.01162 -0.25475 0.10443 0.10173 0.56485 0 0 0 yar2
148.98000 -35.39920 0.19430 -0.04925 -0.90582 0.07647 0.07295 0.42604 0 0 0 tid2
151.15038 -33.78087 -0.10912 -0.08841 -0.78154 52.51206 388.62773 0.69687 0 0 0 sydn
116.19272 -31.04873 -0.25031 -0.02615 -0.88021 0.08469 0.07546 0.23598 0 0 0 nnor
144.97534 -37.82941 0.59427 0.24207 -1.22046 0.10463 0.13369 0.30931 0 0 0 mobs
164.28734 -20.55869 -0.01932 -0.02101 -0.82039 0.25119 0.21852 0.26739 0 0 0 kouc
138.64735 -34.72900 0.14022 0.16200 -1.09403 0.18451 0.16644 0.57753 0 0 0 ade1
174.62764 -41.27805 -18.49845 -3.46558 -0.18740 1.09419 0.91112 0.62532 0 0 0 trwh
182.07105 -29.24467 -14.34107 -14.83223 -6.10712 0.43851 0.37387 0.53983 0 0 0 raul
169.92154 -43.66059 -17.43377 -6.83632 3.29611 0.39829 0.24901 0.44611 0 0 0 pilk
170.35053 -43.33641 -11.11307 -2.39593 2.99929 0.19297 0.33501 0.41704 0 0 0 mtpr
