NASA MEaSUREs project: Extended Solid Earth Science ESDR System (ESESES)
Station velocities and uncertainties 
Derived from daily displacement time series - combined product (weighted mean)
Uncertainties include the effects of colored noise in daily time series
The north, east and up velocities are assumed to be uncorrelated 
Note: Velocities are given only for stations with a minimum of 2.5 years of data
The reference frame is IGS14 (ITRF2014)
Reference: 
Bock, Y., Moore, A.W., Argus, D. F., Fang, P., Jiang, S., Kedar, S., Knox, S.A. Liu, Z. & Sullivan A. (2021), 
Extended Solid Earth Science ESDR System (ES3): Algorithm Theoretical Basis Document: Chapter 4.2
http://garner.ucsd.edu/pub/measuresESESES_products/ATBD/ESESES-ATBD.pdf (username:anonymous; password: your e-mail address)

Velocity units: mm/yr
Ellipsoid Height units: meters
Lat/Long: decimal degrees

Site Longitude   Latitude   Height      Nvel     Evel     Uvel   Nerr   Eerr   Uerr
ac16 211.90676617 60.51820409   34.059    21.02    -26.6     1.22   0.41   0.22   0.72 
ac17 207.59615407 60.66390329  882.554    -29.9    -5.94    10.33    0.2   0.15   0.27 
ac18 207.75046892 58.92595839  214.690   -24.79    -7.72     8.85   0.14    0.1   0.18 
ac19 206.39266733 62.51921389  546.501   -25.59    -6.92      3.0   0.12   0.14   0.28 
ac20 210.64749755 60.92920769   43.640    -7.62   -19.36     8.09   0.29    0.1   0.33 
ac21 200.87227821 55.92109025  170.941    -13.9   -14.55    -0.39   0.19    0.1   0.17 
ac23 209.12204643 60.47509315   80.774   -20.25   -11.95     7.95   0.27   0.11   0.26 
ac24 203.34724529 58.68157307   36.337   -21.82    -7.47     1.84   0.09   0.06   0.18 
ac25 197.68594821 55.08896875  584.267   -21.22    -9.69     0.81   0.15   0.12    0.2 
ac26 205.84970823 58.2145555  190.124   -19.61    -7.67     4.52   0.12   0.14   0.18 
ac27 205.83711965 59.25250783  417.473   -27.76    -5.39     3.78    0.1   0.12   0.22 
ac28 199.95083967 55.07849101  365.100   -14.99   -13.02     -0.2   0.27   0.07   0.18 
ac31 197.76087396 64.63797661  228.346   -24.86    -2.88    -0.27   0.13   0.11   0.24 
ac32 209.26308323 61.47312128 1347.740   -22.19   -10.31     3.97   0.31   0.22   0.33 
ac33 209.31492743 62.67117821 1521.098   -23.02   -17.44     3.95   0.52   0.53   0.72 
ac34 206.72082304 57.22002668  103.229    -2.76   -20.72      3.0   0.13   0.09   0.15 
ac35 209.20675517 59.37581137  408.398   -10.89   -14.32    11.82   0.23   0.18    0.4 
ac36 209.39165204 60.9553174   46.449   -19.69   -11.06     6.15   0.25   0.09   0.34 
ac37 206.13461672 60.43968776 1626.570   -27.86    -3.39     3.68   0.15    0.2   0.31 
ac38 206.65812862 57.75368544   43.785   -13.89   -14.42     6.77   0.11   0.12   0.18 
ac39 207.6059272 58.60971999  157.117   -23.94    -8.15     9.23   0.11   0.13   0.15 
ac40 201.38142952 56.93035281   39.898   -17.93   -12.37     0.77   0.16   0.07    0.2 
ac41 199.59269572 55.90866914  407.738   -18.05   -12.43     0.46   0.12   0.12   0.18 
ac42 197.21634857 54.47177675  257.893   -22.25    -8.25     1.93   0.09   0.07   0.17 
ac43 210.37126481 59.52127904   69.515    15.55   -20.52     4.52   0.11    0.1   0.22 
ac44 210.43287521 61.24217276  832.146     -9.5   -17.71     3.61   0.62   0.13   0.38 
ac45 205.81903951 56.56445326  451.080     7.23   -22.42     -3.2    0.1   0.09   0.17 
ac46 208.47599891 61.9862697  619.728   -26.88    -9.49     4.97   0.12   0.14   0.23 
ac47 207.37605538 60.0814515  922.240   -29.44     -4.8     9.85   0.25   0.31   0.74 
ac48 212.65698409 60.64586163  379.517    21.37   -27.84     0.03    0.1   0.08   0.28 
ac50 195.43343049 65.55384945  516.846   -24.25    -2.15    -0.21   0.25   0.14   0.37 
ac51 208.16465218 61.49808351  957.376   -26.86    -7.73     7.46   0.21   0.17   0.27 
ac52 202.42578381 57.56725013   51.819   -17.12   -12.36     1.29    0.2   0.09   0.19 
ac53 209.93104808 61.76897308   57.458   -19.98    -13.5     3.56   0.32   0.26   0.46 
ac55 208.23540968 62.38444444 1012.354   -13.59    46.36   -22.79   0.54   1.24   1.42 
ac57 214.2572975 61.13859646  826.343     8.84   -24.35     10.3   0.09   0.09    0.3 
ac58 189.78218005 57.15608852   19.381   -23.64    -3.83    -0.35   0.08   0.12   0.19 
ac59 206.41479973 59.56719891  308.546   -30.15    -4.78     5.24   0.09   0.08   0.16 
ac60 174.07626887 52.71461959   18.292    -4.94   -19.61     2.24   0.11   0.09   0.22 
ac61 217.9241529 64.02926009  745.410   -19.21    -8.62    -0.65   0.09   0.11   0.35 
ac62 213.68730874 63.08360664 1347.093   -12.42   -21.76     4.57   0.05   0.09   0.21 
ac63 214.15275364 63.50242726  815.016   -18.18    -8.65     7.85   0.06   0.07   0.19 
ac64 215.69601597 62.71401421  774.452    -2.88   -22.28      9.6   0.19   0.12   0.35 
ac65 216.29578484 62.83150885  735.628     -3.8   -18.41     5.46   0.24   0.17   0.42 
ac66 179.30131467 51.37813714  106.782   -14.53   -21.52     1.37   0.23   0.19   0.23 
ac67 207.57456783 57.79071758  347.216    -7.52   -16.78     7.79   0.13   0.13   0.18 
ac70 211.81168334 63.30471575  810.836   -17.08   -17.74     3.54   0.14   0.08   0.31 
ac71 214.28636968 64.04930884  363.975   -20.68     -7.2     3.27   0.09   0.08   0.23 
ac72 214.11229549 63.69506212  558.800    -19.8    -6.78     4.68    0.1   0.09   0.33 
ac74 211.19274407 63.46436178  668.579   -17.46   -13.74     2.68   0.15   0.07   0.24 
ac75 210.39117732 62.99931169  608.602   -18.36   -15.98     5.15   0.21   0.07   0.23 
ac76 216.74116022 63.03999859 1585.258   -15.57    -6.35     3.76   0.11   0.14   0.27 
ac77 214.57375646 62.68802918  746.819    -9.14   -20.97     6.29   0.08   0.08   0.35 
ac78 217.97202384 63.11349386  643.747   -17.25    -8.12    -0.64    0.1    0.1   0.38 
ac79 212.59695516 59.99786836  287.764    26.73   -27.68    -1.36    0.2   0.14   0.22 
ac80 208.23495856 62.39407792 1114.459   -25.31   -11.68     6.57   0.16   0.17    0.3 
acho 279.8268933 7.41473074   35.574    14.01     25.2    -0.54   0.27    0.8   0.48 
acor 351.60106577 43.36438284   66.929    16.97    20.83    -1.99   0.04   0.04    0.1 
acp1 280.05013992  9.3713918   12.794    11.72    16.65     0.15    0.1   0.09   0.25 
acp6 280.59217611 9.23847566  943.504    12.19    16.75    -0.33   0.13   0.11   0.25 
acpm 289.46256649 -33.44718014  724.663    15.23    12.67     1.91   0.45   0.54   0.99 
acsb 242.55510882 33.27426486  -12.301     17.7   -38.74    -1.87   0.07   0.08   0.23 
acso 277.0184688 40.23236071  248.181     2.09   -15.02    -1.46   0.06   0.05   0.21 
acya 260.09701987 16.8379716   -4.923     5.55     0.92    -7.44   0.76    0.4   0.52 
ade1 138.6473446 -34.72900129   38.052    58.37    24.71    -1.35   0.08   0.07    0.3 
ade2 138.64734638 -34.72899783   38.047    58.65    24.53    -2.07   0.19   0.17   0.62 
adis 38.76630343 9.03513532 2439.156    18.85    24.96    -2.08    0.1   0.13   0.31 
adks 264.4135915 29.79096945    2.800    -1.54   -13.03    -3.13   0.13   0.11   0.25 
adri 275.97572142 41.91898932  205.970     1.54   -15.75    -2.34   0.05   0.04   0.16 
agmt 243.57062274 34.59428189 1337.825    -2.58   -18.65    -0.58   0.04   0.06   0.11 
agns 235.94088634 42.55276488   51.360     -2.7   -11.51    -0.05   0.24   0.34   0.77 
ahid 248.93626073 42.77311979 1975.547    -8.82   -15.21    -0.75   0.04   0.06   0.14 
ahti 178.04600298 -38.41144754  563.246    19.09     0.96     0.54   0.13   0.29   0.24 
ainp 204.54198232 19.37265194 1567.845    24.38   -49.04    -0.09   0.24   0.51   0.21 
aira 130.59959096 31.8240627  314.625   -18.91    24.26     1.29   0.06   0.08   0.13 
airs 297.78614348 16.74082709   84.318    16.47     9.61     4.18   0.29   0.27   0.83 
ais2 228.40079096 55.06888409   32.207   -11.07    -13.3     -0.1   0.59   0.59   0.85 
ais5 228.40046384 55.06907203   32.349   -10.87   -13.56     0.54   0.13   0.13    0.3 
ajac 8.76261353 41.9274568   98.774    15.86    21.02     0.53   0.04   0.04   0.14 
akgg 194.00632915 54.19817803  350.180   -18.84    -8.31     7.28    0.2   0.09   0.36 
aklv 194.0441776 54.16269738  543.295   -21.36    -7.05     9.21   0.16   0.12    0.4 
akmo 193.9877108 54.09025856  297.959   -23.85    -8.19     3.56   0.19   0.13   0.22 
akrb 193.92891793 54.12922807  364.079   -22.84    -8.75     3.52   0.13    0.1   0.27 
akto 176.46122043 -40.53980542  432.891    27.17   -25.06    -3.92   0.08   0.13   0.18 
al92 272.22430922 30.91639099   60.884     0.73   -12.24    -0.98   0.31   0.21   0.31 
alac 359.51876937 38.33891969   60.332    16.63    19.92      0.1   0.04   0.03    0.1 
alal 204.40846879 19.38148845 3203.560    18.49   -53.85     3.37   0.56   0.31   0.46 
alam 244.84154265 37.35795884 1090.022    -9.09   -15.81    -0.18   0.07   0.06   0.19 
albh 236.51253076 48.38978208   31.749    -7.93    -7.85      0.6   0.03   0.05   0.09 
alby 117.81018602 -34.95022693   36.337    58.41     36.7    -0.38   0.11   0.11   0.23 
alep 204.35589182 19.54116165 2922.235    40.63   -67.54    -0.41   0.56   0.52   0.37 
alex 29.91099095 31.19706585   57.996    18.13    30.42    -1.12   0.13   1.18   0.55 
algo 281.92863481 45.95580002  200.866     2.57   -16.37      3.2   0.05   0.07   0.12 
alic 133.88551366 -23.67012371  603.259    59.01    31.95    -0.55   0.03   0.03   0.11 
alme 357.5405523 36.85253341  127.487    16.47    18.81    -0.29   0.04   0.03   0.12 
alon 34.60664519 31.70793636   55.677    19.47    22.67     0.66   0.05   0.06   0.15 
alpp 241.30520214 34.82449042  918.080     6.36   -27.97     1.06   0.05   0.07   0.15 
alrt 297.65953991 82.49429371   78.114     7.23   -21.92      6.5    0.2   0.16   0.24 
alth 239.33023805 36.88960597   18.790    -1.01   -22.82   -23.13   0.12   0.45    1.8 
alut 248.37978546 40.5839079 2824.004    -8.36   -14.55    -0.23   0.07   0.09    0.2 
alx2 29.91099335 31.19706678   57.989    14.52    27.92    -3.67   0.74   0.74   0.48 
amc2 255.47540725 38.80312466 1911.403    -5.61   -14.51    -0.69   0.06   0.05   0.19 
amc4 255.4754039 38.80312373 1911.383    -5.94   -14.65    -1.94   0.12   0.13   0.65 
aml5 258.12153644 35.15356284 1098.102    -4.96   -12.87      0.9   0.16   0.23   0.64 
ammn 35.87953847 32.02854547 1074.525    17.95    22.87    -4.85   0.49   0.47   1.16 
ana1 240.63653302 34.0150042   22.434    21.72   -41.03    -0.41   0.13   0.07   0.24 
anat 242.86457267 46.13286453 1087.294    -9.32   -14.02    -1.67   0.07   0.07   0.53 
anau 178.29122331 -38.26821285  229.323    18.17     3.63    -1.37   0.12   0.47   0.26 
and1 16.13481529 69.32605696   44.244    15.96    14.28     1.83   0.07   0.05   0.15 
anip 204.48273218 19.3956468 2599.181    20.26   -45.17     3.61   0.46   0.74   0.29 
ankr 32.75846978 39.88736973  976.041    10.31     1.96    -0.84   0.07   0.06   0.15 
anmg 101.50660363 2.78464823   15.000    -4.25    25.56    -3.24   0.36   0.27   0.75 
antc 288.46795027 -37.33870298  745.382    11.48     9.24     3.72   0.09   0.37   0.22 
anto 261.4233588 29.49121137  263.836    -3.64   -11.82    -0.54    0.2   0.21   0.62 
aoa1 241.16968827 34.15744141  246.549    19.06   -39.41     0.12   0.09   0.11   0.32 
aoml 279.83780149 25.73469142    0.093     2.96    -9.61     0.28   0.21   0.26   0.51 
apex 245.06821233 36.31911935  761.038    -8.44   -15.53    -0.73   0.08   0.12   0.32 
aqui 13.35024692 42.36823884  713.066    17.47    21.59     0.68   0.07   0.08   0.16 
ar27 242.67506915 33.34184855   32.309    17.01   -38.05    -1.53   0.07   0.08   0.26 
ar53 242.52349464 33.38113528  111.042    17.41   -38.27    -1.39   0.07   0.08   0.25 
arco 286.77433119 -37.20585189   28.268    22.42    37.39    -8.32   0.27   0.42   0.56 
areg 288.50709581 -16.46542325 2489.344    12.28     7.74     0.97   0.11   0.14   0.19 
arel 35.20927449 32.10236199  706.261    20.37    22.41     1.81   0.19   0.22   0.66 
areq 288.50720811 -16.46551449 2488.923    13.84     9.03    -0.25   0.07   0.12   0.09 
arev 288.50720341 -16.46551665 2488.922    12.34     6.78     0.85   0.17   0.18   0.37 
argi 353.21647735 61.9973713  110.244    17.73    11.58    -0.29   0.19   0.21   0.57 
argu 242.47805783  36.050011 1791.349    -3.58   -19.33    -0.57   0.09   0.12   0.29 
arht 166.66365297 -77.82943657  135.332   -11.33     9.67     0.59   0.14   0.12   0.53 
arl5 262.93971731 32.75903335  142.826    -2.66   -14.06    -2.05    0.3   0.27   0.61 
arli 237.85814063 48.17406725   23.311    -9.16    -9.85    -0.84   0.06   0.07   0.21 
arln 239.81673045 45.70820589  120.403    -9.43   -12.54    -1.59   0.07   0.09   0.23 
arm1 241.08957897 35.20125172   76.973     0.99   -28.48   -30.47   0.18   0.15   1.63 
arm2 241.08944401 35.20125947   76.951     -0.2   -26.78   -28.57   0.16   0.08   1.47 
armi 37.56085155 6.06242735 1199.839    12.98    24.03    16.44   0.84    0.7   3.43 
arol 275.29079688 10.4371889  754.777    17.74    15.83    -2.53   0.56   0.39   1.04 
arp3 262.9410431 27.83835197  -16.610    -3.33   -15.55    -1.14   0.17   0.37   0.37 
arp7 262.94104103 27.83835199  -16.423    -3.99    -12.5     -1.1   0.17   0.16   0.45 
arta 176.13641235 -38.61758173  369.709    35.04     1.86    -5.61   0.18   0.16   0.37 
artu 58.56045456 56.42982126  247.566     6.16    25.28     0.39   0.05   0.05   0.23 
asbu 238.63149343 43.82056504 1508.869     -7.7   -13.45    -0.88   0.08   0.08   0.31 
asc1 345.58792801 -7.95121445  105.120    11.29    -5.39    -0.61    0.2    0.2   0.46 
ascg 345.66733552 -7.91628097   37.970    10.92    -4.33    -1.12   0.15   0.19   0.29 
ashl 237.329831 42.18069075  608.716    -5.35    -15.2     0.27   0.08    0.1   0.24 
