#lon lat ve vn vu se sn su name
169.41631 -44.31289 -24.83879 -11.39806 NaN 6.51144 1.41597 NaN a07h
169.07449 -43.91096 -10.98786 -4.56503 NaN 1.23760 3.97212 NaN a071
169.35868 -44.10025 -22.49351 -9.05830 NaN 1.61582 1.47572 NaN a00f
170.25273 -46.00028 -28.81979 -12.56062 NaN 0.63343 0.59284 NaN sc05
170.08678 -45.96627 -28.78399 -13.30755 NaN 0.67406 0.59284 NaN sc04
170.01286 -46.05740 -27.80702 -14.94938 NaN 0.72309 0.66132 NaN sc03
170.01351 -46.16295 -28.93503 -13.80879 NaN 0.59930 0.57821 NaN sc02
168.08965 -44.43158 -15.85221 -3.68682 NaN 2.12442 2.91290 NaN emyu
168.08881 -44.33111 -11.98757 -1.91751 NaN 2.37395 4.30196 NaN emyt
168.26292 -44.32801 -13.62442 -4.76961 NaN 2.60361 6.38132 NaN emyr
168.24517 -44.26411 -8.31466 -2.47173 NaN 2.01466 3.20263 NaN emyq
168.36308 -44.25372 -12.15964 -4.95169 NaN 4.06231 4.90172 NaN emyp
168.41509 -44.16433 -10.67579 -2.30642 NaN 1.22766 1.63516 NaN emyn
168.48323 -44.20655 -12.88841 -3.98997 NaN 5.55169 4.17202 NaN emym
168.48111 -44.14886 -9.35428 -3.66149 NaN 1.16806 1.22689 NaN emyl
168.57875 -44.14430 -11.75519 -4.02489 NaN 1.88498 2.52334 NaN emyk
168.58954 -44.07952 -8.27080 -2.61761 NaN 2.68350 1.31642 NaN emyj
168.68554 -44.10511 -11.09411 -3.54195 NaN 1.63574 1.60526 NaN emyh
170.84155 -45.38222 -29.60737 -13.89369 NaN 2.45383 4.47189 NaN eayv
170.86534 -45.39270 -29.60437 -12.40670 NaN 2.13440 2.55330 NaN e2k7
169.24485 -44.53500 -28.99941 -11.80661 NaN 13.93067 1.42592 NaN ae9g
168.88708 -43.91304 -7.78728 -2.81401 NaN 1.74538 7.66110 NaN a3kq
169.30269 -44.73319 -30.89833 -12.40633 NaN 7.63123 0.67265 NaN a1m4
